source,sourceID,target,targetID,weight
Soumitra Chatterjee,nm0154164,Kamu Mukherjee,nm0611536,5
Bimal Chatterjee,nm0154115,Santosh Dutta,nm0244904,4
Govinda Chakravarti,nm0149838,Soumitra Chatterjee,nm0154164,4
Haradhan Bannerjee,nm0052329,Soumitra Chatterjee,nm0154164,4
Haridhan Mukherjee,nm0154128,Santosh Dutta,nm0244904,4
Santosh Dutta,nm0244904,Kamu Mukherjee,nm0611536,4
Santosh Dutta,nm0244904,Mani Srimani,nm0820248,4
Santosh Dutta,nm0244904,Rabi Ghosh,nm0315917,4
Soumitra Chatterjee,nm0154164,Santosh Dutta,nm0244904,4
Soumitra Chatterjee,nm0154164,Sunil Sarkar,nm0765281,4
Ajit Banerjee,nm0051830,Dipankar Dey,nm0212541,3
Ajit Banerjee,nm0051830,Rabi Ghosh,nm0315917,3
Ajoy Banerjee,nm0051831,Harindranath Chattopadhyay,nm0154129,3
Ajoy Banerjee,nm0051831,Kamu Mukherjee,nm0611536,3
Ajoy Banerjee,nm0051831,Santosh Dutta,nm0244904,3
Bimal Chatterjee,nm0154115,Kamu Mukherjee,nm0611536,3
Bimal Chatterjee,nm0154115,Soumitra Chatterjee,nm0154164,3
Bimal Chatterjee,nm0154115,Utpal Dutt,nm0244884,3
Dipankar Dey,nm0212541,Mamata Shankar,nm0788164,3
Dipankar Dey,nm0212541,Promode Ganguly,nm0304365,3
Gopal Dey,nm0223342,Kamu Mukherjee,nm0611536,3
Govinda Chakravarti,nm0149838,Rajkumar Lahiri,nm1708115,3
Govinda Chakravarti,nm0149838,Santosh Dutta,nm0244904,3
Govinda Chakravarti,nm0149838,Sunil Sarkar,nm0765281,3
Haradhan Bannerjee,nm0052329,Kamu Mukherjee,nm0611536,3
Haridhan Mukherjee,nm0154128,Mani Srimani,nm0820248,3
Haridhan Mukherjee,nm0154128,Rabi Ghosh,nm0315917,3
Haridhan Mukherjee,nm0154128,Shailen Ganguli,nm0304352,3
Kamu Mukherjee,nm0611536,Rajkumar Lahiri,nm1708115,3
Kartik Chatterjee,nm0154135,Rabi Ghosh,nm0315917,3
Kartik Chatterjee,nm0154135,Santosh Dutta,nm0244904,3
Rabi Ghosh,nm0315917,Mani Srimani,nm0820248,3
Santi Chatterjee,nm0154155,Rabi Ghosh,nm0315917,3
Santi Chatterjee,nm0154155,Santosh Dutta,nm0244904,3
Santi Chatterjee,nm0154155,Soumitra Chatterjee,nm0154164,3
Santosh Dutta,nm0244904,Khagen Pathak,nm0665546,3
Santosh Dutta,nm0244904,Rajkumar Lahiri,nm1708115,3
Santosh Dutta,nm0244904,Shailen Ganguli,nm0304352,3
Shailen Ganguli,nm0304352,Ashok Mitra,nm1371495,3
Shailen Ganguli,nm0304352,Gitali Roy,nm0747030,3
Shailen Ganguli,nm0304352,Prasad Mukherjee,nm0611546,3
Shailen Ganguli,nm0304352,Rabi Ghosh,nm0315917,3
Shailen Mukherjee,nm0611561,Gitali Roy,nm0747030,3
Shyamal Ghoshal,nm0315929,Gitali Roy,nm0747030,3
Shyamal Ghoshal,nm0315929,Shailen Mukherjee,nm0611561,3
Soumitra Chatterjee,nm0154164,Monu Mukherjee,nm0611540,3
Soumitra Chatterjee,nm0154164,Noni Ganguly,nm0304363,3
Soumitra Chatterjee,nm0154164,Rabi Ghosh,nm0315917,3
Soumitra Chatterjee,nm0154164,Rajkumar Lahiri,nm1708115,3
Soumitra Chatterjee,nm0154164,Sharmila Tagore,nm0846616,3
Tapan Chatterjee,nm0154170,Shailen Ganguli,nm0304352,3
Tarun Mitra,nm0593973,Kamu Mukherjee,nm0611536,3
Utpal Dutt,nm0244884,Rabi Ghosh,nm0315917,3
Utpal Dutt,nm0244884,Santosh Dutta,nm0244904,3